	T1	T2	T3	T4	T5
time	1	2	3	4	5
2	7	1	9	10	1
5	0	1	1	0	0
8	21	22	0	0	1
9	0	1	0	0	0
10	14	0	1	0	0
12	7	0	0	0	0
13	15	0	0	0	0
15	19	15	2	1	0
23	7	3	3	4	0
24	39	17	8	7	7
28	9	1	1	0	0
30	21	25	14	15	11
32	29	14	1	0	0
36	20	4	1	0	0
37	33	2	1	0	0
38	27	6	1	5	0
40	17	6	4	0	2
42	5	1	2	0	1
43	6	2	0	2	0
44	7	0	0	0	0
46	1	0	1	0	3
48	10	0	0	0	0
49	3	4	3	0	1
