                            Variables index correlation     qvalue pvalue
M9.25_239.1651m.z   M9.25_239.1651m.z  4343   0.3943277 0.00000000  0.000
M12.35_329.2485m.z M12.35_329.2485m.z   588   0.3923627 0.00000000  0.000
M11.45_265.2170m.z M11.45_265.2170m.z  3549   0.3868440 0.00000000  0.000
M9.27_152.0376m.z   M9.27_152.0376m.z  3801   0.3848877 0.00000000  0.000
M10.49_386.1717n     M10.49_386.1717n  3617   0.3827970 0.00000000  0.000
M0.96_329.2482m.z   M0.96_329.2482m.z   424   0.3825008 0.00000000  0.000
M10.38_223.1702m.z M10.38_223.1702m.z  1099   0.3823369 0.00000000  0.000
M9.46_239.1652m.z   M9.46_239.1652m.z  1847   0.3820396 0.00000000  0.000
M5.51_113.0972m.z   M5.51_113.0972m.z  5970   0.3781712 0.00000000  0.000
M13.20_331.2641m.z M13.20_331.2641m.z   898   0.3775671 0.00000000  0.000
M12.53_306.2543n     M12.53_306.2543n  5228   0.3761708 0.00000000  0.000
M10.38_305.1734m.z M10.38_305.1734m.z  2146   0.3749246 0.00000000  0.000
M6.86_198.1134m.z   M6.86_198.1134m.z  5272   0.3734002 0.02913303  0.001
M11.96_279.1094m.z M11.96_279.1094m.z  4354   0.3724775 0.00000000  0.000
M11.30_431.1682m.z M11.30_431.1682m.z  3045   0.3721297 0.00000000  0.000
M11.91_327.2327m.z M11.91_327.2327m.z   231   0.3710899 0.00000000  0.000
M4.94_752.5196m.z   M4.94_752.5196m.z  2883   0.3685928 0.00000000  0.000
M7.89_330.2630m.z   M7.89_330.2630m.z  2711   0.3641339 0.00000000  0.000
M9.38_379.1712m.z   M9.38_379.1712m.z  4770   0.3623176 0.00000000  0.000
M8.19_139.0222m.z   M8.19_139.0222m.z  5728   0.3615506 0.02913303  0.001
M9.19_88.0392m.z     M9.19_88.0392m.z  6088   0.3605148 0.00000000  0.000
M10.78_249.1859m.z M10.78_249.1859m.z  1889   0.3600276 0.00000000  0.000
M2.04_331.2637m.z   M2.04_331.2637m.z  4989   0.3596906 0.00000000  0.000
