                            Variables index correlation     qvalue pvalue
M11.20_506.3249m.z M11.20_506.3249m.z  1574  -0.3448327 0.02913303  0.001
M10.71_476.2776m.z M10.71_476.2776m.z  1130  -0.3445660 0.04721933  0.002
M10.86_500.2779m.z M10.86_500.2779m.z   343  -0.3441302 0.00000000  0.000
M11.11_478.2934m.z M11.11_478.2934m.z  1947  -0.3440268 0.00000000  0.000
M9.83_453.2852n       M9.83_453.2852n   214  -0.3423411 0.04721933  0.002
M6.69_258.1230m.z   M6.69_258.1230m.z  4118  -0.3422753 0.00000000  0.000
M10.59_292.0862m.z M10.59_292.0862m.z    42  -0.3412479 0.02913303  0.001
M10.01_453.2852n     M10.01_453.2852n    52  -0.3407794 0.04721933  0.002
M10.72_229.0827m.z M10.72_229.0827m.z  1589  -0.3404418 0.02913303  0.001
M4.02_181.0534m.z   M4.02_181.0534m.z  4426  -0.3396288 0.00000000  0.000
M9.63_633.0351m.z   M9.63_633.0351m.z    13  -0.3393464 0.04721933  0.002
M7.74_144.0665m.z   M7.74_144.0665m.z  4908  -0.3391903 0.05935514  0.003
M2.84_135.0683n       M2.84_135.0683n  1881  -0.3380959 0.02913303  0.001
M5.00_206.0457m.z   M5.00_206.0457m.z  5560  -0.3370620 0.07764059  0.005
M10.93_104.1069m.z M10.93_104.1069m.z   354  -0.3364216 0.02913303  0.001
M9.19_239.0672m.z   M9.19_239.0672m.z  3944  -0.3358983 0.00000000  0.000
M5.71_501.2850n       M5.71_501.2850n   504  -0.3346841 0.05935514  0.003
M10.47_231.0983m.z M10.47_231.0983m.z  3196  -0.3343322 0.00000000  0.000
M11.74_363.2517m.z M11.74_363.2517m.z  3535  -0.3341905 0.04721933  0.002
M10.59_204.1112n     M10.59_204.1112n   581  -0.3340355 0.02913303  0.001
M9.63_961.0488m.z   M9.63_961.0488m.z    80  -0.3340202 0.04721933  0.002
M13.12_369.3008m.z M13.12_369.3008m.z  3151  -0.3335149 0.04721933  0.002
M4.01_275.0538m.z   M4.01_275.0538m.z  1784  -0.3334364 0.04721933  0.002
M8.34_295.1545m.z   M8.34_295.1545m.z  3806  -0.3331929 0.04721933  0.002
M5.75_244.0044m.z   M5.75_244.0044m.z  5891  -0.3325930 0.02913303  0.001
M12.72_290.1455m.z M12.72_290.1455m.z  2182  -0.3320620 0.04721933  0.002
M5.88_602.3463m.z   M5.88_602.3463m.z   443  -0.3318378 0.02913303  0.001
M10.91_293.0939n     M10.91_293.0939n    15  -0.3312956 0.00000000  0.000
M1.07_502.3290n       M1.07_502.3290n  2402  -0.3312737 0.00000000  0.000
M10.86_337.2726m.z M10.86_337.2726m.z  2261  -0.3310577 0.02913303  0.001
