                            Variables index correlation      qvalue pvalue
M8.80_213.1496m.z   M8.80_213.1496m.z  1719  -0.4173133 0.000000000  0.000
M9.46_239.1652m.z   M9.46_239.1652m.z  1847  -0.4171186 0.000000000  0.000
M10.15_443.1636m.z M10.15_443.1636m.z  3439  -0.4165889 0.000000000  0.000
M10.44_211.1703m.z M10.44_211.1703m.z  2007  -0.4162630 0.000000000  0.000
M5.51_344.2792m.z   M5.51_344.2792m.z   579  -0.4162068 0.000000000  0.000
M5.77_85.0284m.z     M5.77_85.0284m.z  6050  -0.4148502 0.000000000  0.000
M5.00_269.1292m.z   M5.00_269.1292m.z  5767  -0.4148069 0.000000000  0.000
M7.73_575.1202m.z   M7.73_575.1202m.z  3311  -0.4142504 0.000000000  0.000
M4.43_304.2110m.z   M4.43_304.2110m.z  2362  -0.4130459 0.000000000  0.000
M4.72_375.1191m.z   M4.72_375.1191m.z  2690  -0.4128556 0.000000000  0.000
M2.94_175.0340m.z   M2.94_175.0340m.z   498  -0.4121986 0.000000000  0.000
M9.33_150.0228m.z   M9.33_150.0228m.z  1337  -0.4111018 0.000000000  0.000
M6.44_304.2116m.z   M6.44_304.2116m.z   537  -0.4102385 0.000000000  0.000
M6.04_134.0611m.z   M6.04_134.0611m.z  4327  -0.4040917 0.000000000  0.000
M9.12_369.2869n       M9.12_369.2869n   796  -0.4030626 0.000000000  0.000
M3.86_199.0975m.z   M3.86_199.0975m.z  4684  -0.4013662 0.000000000  0.000
M11.42_341.1781m.z M11.42_341.1781m.z  2750  -0.4000537 0.000000000  0.000
M10.59_180.0688m.z M10.59_180.0688m.z  5293  -0.4000294 0.000000000  0.000
M11.92_537.2164m.z M11.92_537.2164m.z  4329  -0.3997815 0.000000000  0.000
M5.15_177.0668m.z   M5.15_177.0668m.z  4216  -0.3993190 0.000000000  0.000
M2.87_369.0474m.z   M2.87_369.0474m.z  1738  -0.3986307 0.000000000  0.000
M11.00_307.1888m.z M11.00_307.1888m.z  2506  -0.3983328 0.000000000  0.000
M8.60_169.1233m.z   M8.60_169.1233m.z  4583  -0.3974806 0.000000000  0.000
M2.20_203.0823m.z   M2.20_203.0823m.z  4867  -0.3962278 0.000000000  0.000
M9.33_151.0262m.z   M9.33_151.0262m.z  4723  -0.3955283 0.000000000  0.000
M11.19_321.2433m.z M11.19_321.2433m.z  3965  -0.3950682 0.000000000  0.000
M10.21_267.1965m.z M10.21_267.1965m.z  2453  -0.3948870 0.000000000  0.000
M7.67_80.9651m.z     M7.67_80.9651m.z  3425  -0.3944439 0.000000000  0.000
M8.64_199.1703m.z   M8.64_199.1703m.z  3367  -0.3942299 0.000000000  0.000
M8.51_301.0649n       M8.51_301.0649n  3857  -0.3932504 0.000000000  0.000
M5.83_288.2161m.z   M5.83_288.2161m.z   577  -0.3929066 0.000000000  0.000
M2.76_130.0634n       M2.76_130.0634n   161  -0.3925788 0.000000000  0.000
M6.45_306.2171m.z   M6.45_306.2171m.z  4482  -0.3924840 0.000000000  0.000
M8.62_265.0882n       M8.62_265.0882n  4163  -0.3913562 0.000000000  0.000
M7.53_161.0607m.z   M7.53_161.0607m.z  5854  -0.3911391 0.000000000  0.000
M6.69_179.1076m.z   M6.69_179.1076m.z  5322  -0.3908065 0.000000000  0.000
M7.90_211.0703m.z   M7.90_211.0703m.z  4941  -0.3906846 0.000000000  0.000
M2.85_283.0457m.z   M2.85_283.0457m.z  2192  -0.3903448 0.000000000  0.000
M5.41_370.2948m.z   M5.41_370.2948m.z   550  -0.3903362 0.000000000  0.000
M5.39_396.3103m.z   M5.39_396.3103m.z  2220  -0.3901697 0.000000000  0.000
M7.83_210.1099n       M7.83_210.1099n  5519  -0.3886950 0.000000000  0.000
M1.07_180.0790n       M1.07_180.0790n  1650  -0.3886911 0.008547779  0.001
M10.15_197.1546m.z M10.15_197.1546m.z  2325  -0.3885865 0.000000000  0.000
M7.92_135.0815m.z   M7.92_135.0815m.z  4662  -0.3882935 0.000000000  0.000
M5.52_163.0764m.z   M5.52_163.0764m.z  5676  -0.3881335 0.000000000  0.000
M2.84_152.0447n       M2.84_152.0447n   698  -0.3872940 0.000000000  0.000
M2.88_101.0607m.z   M2.88_101.0607m.z  3355  -0.3870288 0.000000000  0.000
M11.02_337.1587m.z M11.02_337.1587m.z  3970  -0.3867460 0.000000000  0.000
M7.14_222.1133m.z   M7.14_222.1133m.z  3266  -0.3865897 0.000000000  0.000
M3.47_278.0701m.z   M3.47_278.0701m.z  5310  -0.3864809 0.000000000  0.000
M10.38_223.1702m.z M10.38_223.1702m.z  1099  -0.3860020 0.000000000  0.000
M5.92_384.2741m.z   M5.92_384.2741m.z  2675  -0.3857390 0.000000000  0.000
M7.97_176.0385m.z   M7.97_176.0385m.z  2693  -0.3856306 0.000000000  0.000
M11.01_290.1599m.z M11.01_290.1599m.z  1663  -0.3850280 0.000000000  0.000
M5.73_159.0562m.z   M5.73_159.0562m.z  5718  -0.3849233 0.000000000  0.000
M3.63_199.0975m.z   M3.63_199.0975m.z  4050  -0.3837193 0.000000000  0.000
M6.59_335.1228m.z   M6.59_335.1228m.z  3867  -0.3836959 0.000000000  0.000
M9.62_225.1482m.z   M9.62_225.1482m.z  3722  -0.3833521 0.000000000  0.000
M8.27_495.1195m.z   M8.27_495.1195m.z  4517  -0.3829465 0.000000000  0.000
