	T1	T2	T3	T4	T5
time	0	30	60	120	240
CHEX.3	0.498604134941936	1.22825223613005	-0.695695493370945	-1.29889128510286	0.26773040740182
CHEX.1	-0.167392149230016	0.282394831123875	1.17219326369795	0.275575372960441	-1.56277131855225
RANTES.CCL5	1.46779854604476	0.147103211107152	-1.31352118287959	0.0123665286721659	-0.313747102944481
GCSF	-0.352572336293858	1.63379836312691	-0.944905415334954	-0.526624833656319	0.190304222158217
PAI.1.SERPIN.E	1.0460566353579	-1.04802327588989	-1.09702864563886	0.554270480377371	0.544724805793483
FFA.22.6.	0.922919413855893	0.763701717729665	0.473057364929204	-1.14725796671435	-1.01242052980041
FFA.20.4.	0.767340299424039	0.503691097081868	0.879637887062557	-1.26379172920994	-0.886877554358522
FFA.22.4.	0.741515156941218	0.263159639949135	1.07068735222468	-1.23888600084501	-0.836476148270016
FFA.22.5.	0.984155790745518	0.491625287150269	0.646276535044787	-1.30649198141457	-0.815565631526001
FFA.18.2.	1.15931228425436	-0.208818002037355	0.916968544665657	-1.05173576251693	-0.815727064365733
FFA.16.1.	0.920225630380869	-0.459394897702972	1.22589705854634	-0.93499412577102	-0.751733665453215
FFA.12.0.	1.4812298881169	0.486171759684398	-0.691975702891523	-1.01014349937759	-0.265282445532187
FFA.18.3.	1.2059947803257	0.166576564052228	0.654742777173624	-1.14430823787248	-0.883005883679079
FFA.20.5.	0.683102561330745	0.998196762111988	0.428020349667053	-1.30878377619796	-0.800535896911828
Amylin.total	-1.58341743432526	0.393871500738691	0.330324008968344	1.08512959698223	-0.225907672364011
C.Peptide	-1.65247560546276	-0.0572625126423369	0.133958312652224	0.845159226239102	0.73062057921377
Leptin	-0.498993369846299	-0.582950879453878	-1.05707134428598	1.01437066193621	1.12464493164995
Insulin	-0.436373930585012	-1.49226250446263	0.165100473562061	0.896645823056814	0.866890138428769
M10.44_211.1703m.z	1.35462440857803	-0.900630132957969	-0.791310772890807	-0.410476505257962	0.747793002528711
M11.92_303.2327m.z	1.18494230898449	-1.17483169707605	-0.846310191662849	0.144397032473514	0.691802547280898
M5.44_330.2635m.z	1.44151785646629	-0.649687006264786	-0.200834401937764	-1.09704678954998	0.506050341286231
M10.48_199.1703m.z	1.71878205439796	-0.655347511414689	-0.712038761778027	-0.0214753355671964	-0.329920445638043
M9.33_150.0228m.z	1.04224536440762	-1.45347258369831	-0.55171545059958	0.610162472227738	0.352780197662533
M9.99_198.1619n	1.20134229430612	-1.14377125783469	-0.793708243675964	-0.048849992569642	0.784987199774179
M12.50_305.2484m.z	1.32302803284076	-1.12839688373967	-0.811514344104102	0.0559645408618746	0.560918654141141
M10.82_319.2293m.z	1.08809982074106	-1.09143446210436	-0.989801285901493	0.22093820793652	0.772197719328278
M9.65_195.1390m.z	1.14946854691836	-1.01491863464846	-1.08894679570208	0.416287050062555	0.538109833369622
M8.96_169.1233m.z	1.21671023974415	-0.962380277333647	-1.02467825247204	0.0339216509389566	0.736426639122575
M12.35_329.2485m.z	1.345365125321	-1.15362217461753	-0.744910497850878	0.00157491882192942	0.55159262832548
M10.38_223.1702m.z	1.05437544776925	-1.21483034706342	-0.85388762543648	0.216559676753913	0.797782847976734
M9.46_239.1652m.z	0.919273879404695	-1.16351930393255	-0.952724010824564	0.300904973208455	0.896064462143959
M13.20_331.2641m.z	0.904689890068079	-1.16980234155089	-0.91039700922686	0.204763396254132	0.970746064455541
M11.91_327.2327m.z	1.47234138906059	-1.1077441454582	-0.712711603200596	0.0388460315046474	0.309268328093565
M10.78_249.1859m.z	1.02416902676122	-1.14385511901146	-0.94843638176348	0.240208475121704	0.827913998892015
M11.55_299.1950m.z	1.54398976742106	-0.949934480969381	-0.493095325651344	-0.532911645479737	0.431951684679406
M11.04_251.2016m.z	1.42015073600307	-0.952224602593351	-0.93231537569995	0.00926015846393035	0.455129083826305
M10.81_225.1859m.z	1.05628286728609	-1.23845981912753	-0.794391999677853	0.140016135972223	0.836552815547066
M8.80_213.1496m.z	0.77158944800718	-1.17069788446621	-0.93667645140132	0.304166737454456	1.03161815040589
M9.96_241.1808m.z	0.712228683403281	-1.28525765709965	-0.753748052548499	0.220365775558033	1.10641125068683
M5.58_302.2322m.z	0.644386093159256	0.670907817951246	0.863256492865424	-1.17981955285731	-0.998730851118621
M11.91_409.2356m.z	1.47381348958687	-1.1616228475786	-0.625509000968926	0.0185279908024955	0.29479036815816
M11.96_280.2398n	1.34959441622056	-0.704898776120269	-1.16978490827524	-0.0336449384211505	0.558734206596101
M11.54_253.2171m.z	1.57797937714221	-0.853729436158606	-0.53846417922026	-0.579680970408237	0.393895208644889
M11.19_321.2433m.z	0.878081625702881	-1.20267488732772	-0.775447137133826	0.0132786078966936	1.08676179086197
M11.28_309.2046m.z	1.7089583881999	-0.0436414164178286	-0.323783688771954	-0.861639639002754	-0.479893644007365
M13.56_307.2641m.z	1.10095799696809	-1.05693838684216	-0.951983555384241	0.0342792309982631	0.873684714260042
M11.28_227.2015m.z	1.68556625725307	0.0578484754512616	-0.381453798151472	-0.884135768154344	-0.477825166398519
M12.87_282.2555n	1.29666186440189	-0.834416398171751	-1.00833086603845	-0.204755121627162	0.750840521435476
M3.82_259.1776n	0.847773249145545	-1.02595082805725	-0.78953574512678	-0.270167271569127	1.23788059560761
M7.67_574.2040m.z	1.42332416047428	0.159850645726542	-1.36600840620273	0.0632255844247968	-0.280391984422885
M7.74_313.1197m.z	1.44264360186401	-0.347473586643557	-1.33018150575064	0.094663831988773	0.140347658541409
M7.44_315.2402n	0.64682992923555	-1.16619833334773	-0.629044235227093	-0.189491933887548	1.33790457322682
M5.51_344.2792m.z	0.876922216620917	-1.22448224714132	-0.490492855441476	-0.33592424791177	1.17397713387365
M10.21_267.1965m.z	0.670524401136162	-1.16787662755273	-0.910744933095974	0.276476321638747	1.13162083787379
M4.66_151.0260m.z	1.65056917966067	-0.682951549622475	-0.870673557252104	-0.200831880348631	0.103887807562537
M11.15_351.2537m.z	1.62511549671932	-0.731125338910306	-0.74986788338958	-0.42686242215308	0.282740147733645
M8.36_241.1444m.z	1.69680794450805	-0.138839408945878	-0.467789019110791	-0.924888496067338	-0.16529102038404
M9.47_183.1389m.z	0.800130046625916	-1.68093155484377	0.0186651831178998	0.14622337514143	0.715912949958529
M10.52_237.1860m.z	1.2926595414897	-1.06397027808272	-0.434759690268877	-0.599371384792617	0.805441811654517
